"","Codigo","gini"
"1","AGO","51.3"
"2","ALB","30.1"
"3","ARE","26.0"
"4","ARG","43.3"
"5","ARM","30.0"
"6","AUS","34.3"
"7","AUT","30.2"
"8","BDI","38.6"
"9","BEL","27.2"
"10","BEN","37.9"
"11","BFA","43.0"
"12","BGD","32.4"
"13","BGR","40.3"
"14","BIH","33.0"
"15","BLR","25.3"
"16","BOL","41.6"
"17","BRA","53.5"
"18","BTN","37.4"
"19","BWA","53.3"
"20","CAN","31.7"
"21","CHE","34.0"
"22","CHL","45.3"
"23","CHN","38.2"
"24","CIV","37.2"
"25","CMR","46.6"
"26","COD","42.1"
"27","COG","48.9"
"28","COL","51.3"
"29","COM","45.3"
"30","CPV","42.4"
"31","CRI","48.2"
"32","CYP","31.2"
"33","CZE","25.3"
"34","DEU","31.7"
"35","DJI","41.6"
"36","DNK","27.7"
"37","DOM","41.9"
"38","DZA","27.6"
"39","ECU","45.7"
"40","EGY","31.9"
"41","ESP","34.3"
"42","EST","30.8"
"43","ETH","35.0"
"44","FIN","27.7"
"45","FJI","30.7"
"46","FRA","31.2"
"47","FSM","40.1"
"48","GAB","38.0"
"49","GBR","32.8"
"50","GEO","35.9"
"51","GHA","43.5"
"52","GIN","29.6"
"53","GMB","35.9"
"54","GNB","34.8"
"55","GRC","33.1"
"56","GRD","43.8"
"57","GTM","48.3"
"58","HND","48.2"
"59","HRV","28.9"
"60","HTI","41.1"
"61","HUN","30.0"
"62","IDN","37.6"
"63","IND","33.8"
"64","IRL","30.8"
"65","IRN","36.5"
"66","IRQ","29.5"
"67","ISL","26.1"
"68","ISR","38.3"
"69","ITA","34.6"
"70","JAM","35.6"
"71","JOR","33.7"
"72","JPN","32.9"
"73","KAZ","28.0"
"74","KEN","40.8"
"75","KGZ","29.7"
"76","KIR","27.8"
"77","KOR","31.4"
"78","LAO","38.8"
"79","LBN","31.8"
"80","LBR","35.3"
"81","LCA","43.7"
"82","LKA","37.7"
"83","LSO","44.9"
"84","LTU","35.3"
"85","LUX","34.2"
"86","LVA","34.5"
"87","MAR","39.5"
"88","MDA","26.0"
"89","MDG","42.6"
"90","MDV","29.3"
"91","MEX","46.0"
"92","MHL","35.5"
"93","MKD","33.5"
"94","MLI","36.0"
"95","MLT","31.0"
"96","MMR","30.7"
"97","MNE","35.7"
"98","MNG","32.7"
"99","MOZ","50.5"
"100","MRT","32.0"
"101","MUS","36.8"
"102","MWI","38.5"
"103","MYS","41.2"
"104","NAM","59.1"
"105","NER","37.3"
"106","NGA","35.1"
"107","NIC","46.2"
"108","NLD","29.2"
"109","NOR","27.7"
"110","NPL","32.8"
"111","NRU","32.4"
"112","PAK","29.6"
"113","PAN","49.8"
"114","PER","41.5"
"115","PHL","42.3"
"116","POL","28.8"
"117","PRT","32.8"
"118","PRY","45.7"
"119","PSE","33.7"
"120","ROU","34.8"
"121","RUS","37.7"
"122","RWA","43.7"
"123","SDN","34.2"
"124","SEN","38.3"
"125","SLB","37.1"
"126","SLE","35.7"
"127","SLV","38.8"
"128","SRB","34.5"
"129","SSD","44.1"
"130","STP","40.7"
"131","SVK","23.2"
"132","SVN","24.4"
"133","SWE","29.3"
"134","SWZ","54.6"
"135","SYC","32.1"
"136","TCD","37.5"
"137","TGO","42.5"
"138","THA","34.9"
"139","TJK","34.0"
"140","TLS","28.7"
"141","TON","33.5"
"142","TUN","32.8"
"143","TUR","43.8"
"144","TUV","39.1"
"145","TZA","40.5"
"146","UGA","42.7"
"147","UKR","26.6"
"148","URY","39.7"
"149","USA","41.5"
"150","VNM","35.7"
"151","VUT","32.3"
"152","WSM","38.7"
"153","YEM","36.7"
"154","ZAF","63.0"
"155","ZMB","55.9"
"156","ZWE","50.3"
